Datenerhebungsblatt Bäume

Gruppe: Kleinholz GmbH
Datum: 04.06.2026

ID;Timestamp;Baumnr.;Himmels-richtung;Distanz (m);Winkel;Bodentemperatur (°C);Bodenfeuchtigkeit (%);Lufttemperatur (°C);Lichtverhältnisse;Anmerkungen
KH_12_12;;12;S;6,36;180;;;;;nicht messbar, zu stark bewachsen
KH_12_13;09:48;12;W;0,5;268;16,2;25,5;21;bewölkt;sehr bockerer Boden/unter Bäumen
KH_12_14;09:49;12;W;1,49;268;15,3;20,2;21;bewölkt;sehr bockerer Boden/unter Bäumen
KH_12_15;09:50;12;W;4,45;268;17,2;27,9;21;bewölkt;
KH_12_16;09:51;12;W;6,46;268;17,2;39,4;21;bewölkt;
KH_66_1;09:17;66;N;0,5;-2;15,1;28,4;19;Schatten;unter Bäumen
KH_66_2;09:18;66;N;6,49;-2;15,3;34,9;19;Schatten;unter Bäumen
KH_66_3;;66;N;12,25;-2;;;;;auf Weg
KH_66_4;;66;N;13,12;-2;;;;;auf Weg
KH_66_5;09:12;66;O;0,5;101;15,1;27,8;19;Schatten;lockerer Boden/unter Bäumen
KH_66_6;09:14;66;O;0,56;101;15,1;34,2;19;Schatten;lockerer Boden/unter Bäumen
KH_66_7;09:15;66;O;10,09;101;15,3;36,9;19;Schatten;lockerer Boden/unter Bäumen
KH_66_8;09:16;66;O;13,48;101;15,8;30,5;19;Schatten;lockerer Boden/unter Bäumen
KH_66_9;09:20;66;S;0,5;184;15;27,6;19;Schatten;lockerer Boden/unter Bäumen
KH_66_10;09:21;66;S;4,55;184;15;32,8;19;Schatten;lockerer Boden/unter Bäumen
KH_66_11;09:22;66;S;11,71;184;15,2;31,6;19;Schatten;unter Bäumen
KH_66_12;09:23;66;S;13,13;184;15,1;31,3;19;Schatten;lockerer Boden/unter Bäumen
KH_66_13;09:25;66;W;0,5;271;15,1;25,2;19;Schatten;lockerer Boden/unter Bäumen
KH_66_14;09:26;66;W;0,97;271;15,2;32,2;19;Schatten;unter Bäumen
KH_66_15;09:27;66;W;10,72;271;15,6;32,7;19;Schatten;unter Bäumen
KH_66_16;09:28;66;W;13,25;271;16;40,8;19;Schatten;fester Boden/unter Bäumen
KH_45_1;;45;N;0,5;-3;;0,8;;;nicht messbar, Steinboden
KH_45_2;;45;N;0,61;-3;;;;;nicht messbar, Steinboden
KH_45_3;;45;N;6,87;-3;;;;;nicht messbar, Steinboden
KH_45_4;;45;N;12,19;-3;;;;;nicht messbar, Steinboden
KH_45_5;;45;O;0,5;88;;;;;nicht messbar, Steinboden
KH_45_6;;45;O;1,63;88;;;;;nicht messbar, Steinboden
KH_45_7;;45;O;6,66;88;;;;;nicht messbar, Steinboden
KH_45_8;;45;O;12,04;88;;;;;nicht messbar, Steinboden
KH_45_9;;45;S;0,5;186;;;;;nicht messbar, Steinboden
KH_45_10;;45;S;5,3;186;;;;;nicht messbar, Steinboden
KH_45_11;;45;S;10,14;186;;;;;nicht messbar, Steinboden
KH_45_12;;45;S;12,06;186;;;;;nicht messbar, Steinboden
KH_45_13;;45;W;0,5;261;;;;;nicht messbar, Steinboden
KH_45_14;;45;W;5,84;261;;;;;nicht messbar, Steinboden
KH_45_15;;45;W;9,47;261;;;;;nicht messbar, Steinboden
KH_45_16;;45;W;12,07;261;;;;;nicht messbar, Steinboden
